1,130,18
1,165,15
1,150,18
1,150,16
1,140,17
1,198,15
1,220,14
1,215,14
1,225,14
1,190,15
1,170,15
1,160,14
1,150,15
1,225,14
1,95,24
1,95,22
1,97,18
1,85,21
1,88,27
1,46,26
1,87,25
1,90,24
1,95,25
1,113,26
1,90,21
1,215,10
1,200,10
1,210,11
1,193,9
1,88,27
1,90,28
1,95,25
1,100,19
1,105,16
1,100,17
1,88,19
1,100,18
1,165,14
1,175,14
1,153,14
1,150,14
1,180,12
1,170,13
1,175,13
1,110,18
1,72,22
1,100,19
1,88,18
1,86,23
1,90,28
1,70,30
1,76,30
1,65,31
1,69,35
1,60,27
1,70,26
1,95,24
1,80,25
1,54,23
1,90,20
1,86,21
1,165,13
1,175,14
1,150,15
1,153,14
1,150,17
1,208,11
1,155,13
1,160,12
1,190,13
1,97,19
1,150,15
1,130,13
1,140,13
1,150,14
1,112,18
1,76,22
1,87,21
1,69,26
1,86,22
1,92,28
1,97,23
1,80,28
1,88,27
1,175,13
1,150,14
1,145,13
1,137,14
1,150,15
1,198,12
1,150,13
1,158,13
1,150,14
1,215,13
1,225,12
1,175,13
1,105,18
1,100,16
1,100,18
1,88,18
1,95,23
1,46,26
1,150,11
1,167,12
1,170,13
1,180,12
1,100,18
1,88,20
1,72,21
1,94,22
1,90,18
1,85,19
1,107,21
1,90,26
1,145,15
1,230,16
1,49,29
1,75,24
1,91,20
1,112,19
1,150,15
1,110,24
1,122,20
1,180,11
1,95,20
1,100,19
1,100,15
1,67,31
1,80,26
1,65,32
1,75,25
1,100,16
1,110,16
1,105,18
1,140,16
1,150,13
1,150,14
1,140,14
1,150,14
1,83,29
1,67,26
1,78,26
1,52,31
1,61,32
1,75,28
1,75,24
1,75,26
1,97,24
1,93,26
1,67,31
1,95,19
1,105,18
1,72,15
1,72,15
1,170,16
1,145,15
1,150,16
1,148,14
1,110,17
1,105,16
1,110,15
1,95,18
1,110,21
1,110,20
1,129,13
1,75,29
1,83,23
1,100,20
1,78,23
1,96,24
1,71,25
1,97,24
1,97,18
1,70,29
1,90,19
1,95,23
1,88,23
1,98,22
1,115,25
1,53,33
1,86,28
1,81,25
1,92,25
1,79,26
1,83,27
1,140,17.5
1,150,16
1,120,15.5
1,152,14.5
1,100,22
1,105,22
1,81,24
1,90,22.5
1,52,29
1,60,24.5
1,70,29
1,53,33
1,100,20
1,78,18
1,110,18.5
1,95,17.5
1,71,29.5
1,70,32
1,75,28
1,72,26.5
1,102,20
1,150,13
1,88,19
1,108,19
1,120,16.5
1,180,16.5
1,145,13
1,130,13
1,150,13
1,68,31.5
1,80,30
1,58,36
1,96,25.5
1,70,33.5
1,145,17.5
1,110,17
1,145,15.5
1,130,15
1,110,17.5
1,105,20.5
1,100,19
1,98,18.5
1,180,16
1,170,15.5
1,190,15.5
1,149,16
1,78,29
1,88,24.5
1,75,26
1,89,25.5
1,63,30.5
1,83,33.5
1,67,30
1,78,30.5
1,97,22
1,110,21.5
1,110,21.5
1,48,43.1
1,66,36.1
1,52,32.8
1,70,39.4
1,60,36.1
1,110,19.9
1,140,19.4
1,139,20.2
1,105,19.2
1,95,20.5
1,85,20.2
1,88,25.1
1,100,20.5
1,90,19.4
1,105,20.6
1,85,20.8
1,110,18.6
1,120,18.1
1,145,19.2
1,165,17.7
1,139,18.1
1,140,17.5
1,68,30
1,95,27.5
1,97,27.2
1,75,30.9
1,95,21.1
1,105,23.2
1,85,23.8
1,97,23.9
1,103,20.3
1,125,17
1,115,21.6
1,133,16.2
1,71,31.5
1,68,29.5
1,115,21.5
1,85,19.8
1,88,22.3
1,90,20.2
1,110,20.6
1,130,17
1,129,17.6
1,138,16.5
1,135,18.2
1,155,16.9
1,142,15.5
1,125,19.2
1,150,18.5
1,71,31.9
1,65,34.1
1,80,35.7
1,80,27.4
1,77,25.4
1,125,23
1,71,27.2
1,90,23.9
1,70,34.2
1,70,34.5
1,65,31.8
1,69,37.3
1,90,28.4
1,115,28.8
1,115,26.8
1,90,33.5
1,76,41.5
1,60,38.1
1,70,32.1
1,65,37.2
1,90,28
1,88,26.4
1,90,24.3
1,90,19.1
1,78,34.3
1,90,29.8
1,75,31.3
1,92,37
1,75,32.2
1,65,46.6
1,105,27.9
1,65,40.8
1,48,44.3
1,48,43.4
1,67,36.4
1,67,30
1,67,44.6
1,67,33.8
1,62,29.8
1,132,32.7
1,100,23.7
1,88,35
1,72,32.4
1,84,27.2
1,84,26.6
1,92,25.8
1,110,23.5
1,84,30
1,58,39.1
1,64,39
1,60,35.1
1,67,32.3
1,65,37
1,62,37.7
1,68,34.1
1,63,34.7
1,65,34.4
1,65,29.9
1,74,33
1,75,33.7
1,75,32.4
1,100,32.9
1,74,31.6
1,80,28.1
1,76,30.7
1,116,25.4
1,120,24.2
1,110,22.4
1,105,26.6
1,88,20.2
1,85,17.6
1,88,28
1,88,27
1,88,34
1,85,31
1,84,29
1,90,27
1,92,24
1,74,36
1,68,37
1,68,31
1,63,38
1,70,36
1,88,36
1,75,36
1,70,34
1,67,38
1,67,32
1,67,38
1,110,25
1,85,38
1,92,26
1,112,22
1,96,32
1,84,36
1,90,27
1,86,27
1,52,44
1,84,32
1,79,28
1,82,31
