"","A1_v_a","A1_v_b","A2","A3","A4_v_l","A4_v_u","A4_v_y","A5_v_g","A5_v_gg","A5_v_p","A6_v_aa","A6_v_c","A6_v_cc","A6_v_d","A6_v_e","A6_v_ff","A6_v_i","A6_v_j","A6_v_k","A6_v_m","A6_v_q","A6_v_r","A6_v_w","A6_v_x","A7_v_bb","A7_v_dd","A7_v_ff","A7_v_h","A7_v_j","A7_v_n","A7_v_o","A7_v_v","A7_v_z","A8","A9_v_f","A9_v_t","A10_v_f","A10_v_t","A11","A12_v_f","A12_v_t","A13_v_g","A13_v_p","A13_v_s","A14","A15","A16"
"1",0,1,30.83,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.25,0,1,0,1,1,1,0,1,0,0,202,0,"+"
"2",1,0,58.67,4.46,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.04,0,1,0,1,6,1,0,1,0,0,43,560,"+"
"3",1,0,24.5,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.5,0,1,1,0,0,1,0,1,0,0,280,824,"+"
"5",0,1,20.17,5.625,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.71,0,1,1,0,0,1,0,0,0,1,120,0,"+"
"7",0,1,33.17,1.04,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6.5,0,1,1,0,0,0,1,1,0,0,164,31285,"+"
"8",1,0,22.92,11.585,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.04,0,1,1,0,0,1,0,1,0,0,80,1349,"+"
"11",0,1,22.08,0.83,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.165,1,0,1,0,0,0,1,1,0,0,128,0,"+"
"12",0,1,29.92,1.835,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.335,0,1,1,0,0,1,0,1,0,0,260,200,"+"
"14",0,1,48.08,6.04,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.04,1,0,1,0,0,1,0,1,0,0,0,2690,"+"
"15",1,0,45.83,10.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,1,7,0,1,1,0,0,0,0,"+"
"16",0,1,36.67,4.415,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0,1,0,1,10,0,1,1,0,0,320,0,"+"
"17",0,1,28.25,0.875,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.96,0,1,0,1,3,0,1,1,0,0,396,0,"+"
"18",1,0,23.25,5.875,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.17,0,1,0,1,10,1,0,1,0,0,120,245,"+"
"19",0,1,21.83,0.25,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.665,0,1,1,0,0,0,1,1,0,0,0,0,"+"
"20",1,0,19.17,8.585,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.75,0,1,0,1,7,1,0,1,0,0,96,0,"+"
