"","A1_v_a","A1_v_b","A2","A3","A4_v_l","A4_v_u","A4_v_y","A5_v_g","A5_v_gg","A5_v_p","A6_v_aa","A6_v_c","A6_v_cc","A6_v_d","A6_v_e","A6_v_ff","A6_v_i","A6_v_j","A6_v_k","A6_v_m","A6_v_q","A6_v_r","A6_v_w","A6_v_x","A7_v_bb","A7_v_dd","A7_v_ff","A7_v_h","A7_v_j","A7_v_n","A7_v_o","A7_v_v","A7_v_z","A8","A9_v_f","A9_v_t","A10_v_f","A10_v_t","A11","A12_v_f","A12_v_t","A13_v_g","A13_v_p","A13_v_s","A14","A15","A16"
"1",0,1,-0.0622757196037045,-0.955919763998852,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.290871630439694,0,1,0,1,-0.287891684895625,1,0,1,0,0,0.104468545800926,-0.195271683820164,"+"
"2",1,0,2.28644269250889,-0.0600069991215048,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.244013429868601,0,1,0,1,0.740292904017322,1,0,1,0,0,-0.819094830977085,-0.0877881958400168,"+"
"3",1,0,-0.596305444771547,-0.855481113227849,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.216167013078201,0,1,1,0,-0.493528602678215,1,0,1,0,0,0.557537372144856,-0.037117408649376,"+"
"4",0,1,-0.315370376081355,-0.646568719624162,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.456174543175243,0,1,0,1,0.534655986234733,0,1,1,0,0,-0.488006073264213,-0.19469587942027,"+"
"5",0,1,-0.961605398954288,0.174015057174932,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.153415134494546,0,1,1,0,-0.493528602678215,1,0,0,0,1,-0.371834579329872,-0.195271683820164,"+"
"6",0,1,0.0431803872619832,-0.152410557830828,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0826514563677744,0,1,1,0,-0.493528602678215,0,1,1,0,0,1.02222334788222,-0.195271683820164,"+"
"7",0,1,0.135138112448863,-0.747007370395165,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.27792533415167,0,1,1,0,-0.493528602678215,0,1,1,0,0,-0.116257292674322,5.80940853307073,"+"
"9",0,1,1.92789192916555,-0.855481113227849,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.518926421758898,0,1,1,0,-0.493528602678215,1,0,1,0,0,-0.0233200975268492,-0.135004156631296,"+"
"10",0,1,0.922262494094356,0.031392173080108,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.281365738549348,0,1,1,0,-0.493528602678215,0,1,1,0,0,-0.766817658706632,0.0814982977287148,"+"
"13",1,0,0.563711730751018,0.249344045253185,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.365576247801188,0,1,1,0,-0.493528602678215,0,1,1,0,0,-1.06886354293592,-0.195271683820164,"+"
"14",0,1,1.39301855514279,0.257379137314865,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.652441978469324,1,0,1,0,-0.493528602678215,1,0,1,0,0,-1.06886354293592,0.321032928084471,"+"
"15",1,0,1.20319756278455,1.15329190219221,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.829697629982712,0,1,0,1,0.945929821799912,0,1,1,0,0,-1.06886354293592,-0.195271683820164,"+"
"16",0,1,0.430415211672789,-0.069046477690895,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.58969009988567,0,1,0,1,1.56284057514768,0,1,1,0,0,0.789880360013538,-0.195271683820164,"+"
"17",0,1,-0.279937124174484,-0.780152125149596,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.377528986579027,0,1,0,1,0.123382150669554,0,1,1,0,0,1.23133203696403,-0.195271683820164,"+"
"18",1,0,-0.701761551637234,0.224234382560434,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.282859830896578,0,1,0,1,1.56284057514768,1,0,1,0,0,-0.371834579329872,-0.148247657828849,"+"
"19",0,1,-0.821559689036656,-0.90570043861335,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.46568043506559,0,1,1,0,-0.493528602678215,0,1,1,0,0,-1.06886354293592,-0.195271683820164,"+"
"20",1,0,-1.04597028444684,0.76861186973927,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.440280865162682,0,1,0,1,0.945929821799912,1,0,1,0,0,-0.511240372051082,-0.195271683820164,"+"
"21",0,1,-0.554123002025272,1.30394987834872,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0826514563677744,0,1,0,1,3.00229899962581,1,0,1,0,0,0.0928513964074919,0.0365855545370105,"+"
"22",0,1,-0.701761551637234,-0.755042462456846,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.414881295259774,0,1,1,0,-0.493528602678215,1,0,0,0,1,0.673708866079197,-0.195271683820164,"+"
"23",1,0,1.36517814293024,0.651098648337197,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.68880072963989,0,1,0,1,0.740292904017322,0,1,1,0,0,-1.06886354293592,0.046566164135167,"+"
"25",1,0,0.810057196389264,0.349782696024188,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.514985482524176,0,1,0,1,0.123382150669554,0,1,1,0,0,-0.226620211911946,-0.195271683820164,"+"
"26",1,0,-1.32774900199196,-0.838406542596778,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.216167013078201,0,1,0,1,-0.0822547671130358,1,0,1,0,0,-0.488006073264213,-0.195271683820164,"+"
"27",1,0,1.30190447881083,1.65548515604723,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.879002677441298,0,1,0,1,1.35720365736509,0,1,1,0,0,-1.06886354293592,-0.195271683820164,"+"
"28",0,1,2.11012008182946,2.76031031452826,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.81788232444246,0,1,0,1,3.00229899962581,0,1,1,0,0,-1.06886354293592,-0.195271683820164,"+"
"29",0,1,2.1809865856432,0.7515372991082,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.42733456887466,0,1,0,1,0.123382150669554,1,0,1,0,0,-1.06886354293592,-0.195271683820164,"+"
"30",0,1,0.886829242187484,-0.747007370395165,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.829697629982712,0,1,0,1,0.740292904017322,0,1,1,0,0,1.83542380542261,1.72407631582532,"+"
"31",0,1,-0.195572238681934,2.01505552580742,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.841650368760551,0,1,0,1,0.534655986234733,0,1,1,0,0,-0.0930229938874538,-0.195271683820164,"+"
